_id,recvTime,fiwareServicePath,entityType,entityId,LAeq,LAeq_d,LAeq_den,LAeq_e,LAeq_n,dateObserved
1,2020-11-18T13:40:52.283Z,/sonometros,NoiseLevelObserved,T248670-daily,59.7,61.4,61.8,59.8,51.5,2020-11-17
2,2020-11-19T00:00:10.347Z,/sonometros,NoiseLevelObserved,T248670-daily,59.4,61.1,61.6,59.4,51.5,2020-11-18
3,2020-11-21T00:00:17.524Z,/sonometros,NoiseLevelObserved,T248670-daily,62.0,61.8,65.3,64.1,60.5,2020-11-20
4,2020-11-22T00:00:04.402Z,/sonometros,NoiseLevelObserved,T248670-daily,63.2,62.2,67.6,70.6,57.1,2020-11-21
5,2020-11-23T00:00:06.900Z,/sonometros,NoiseLevelObserved,T248670-daily,57.4,58.7,60.4,59.2,51.2,2020-11-22
6,2020-11-24T00:00:48.815Z,/sonometros,NoiseLevelObserved,T248670-daily,60.4,62.8,62.2,57.8,51.0,2020-11-23
7,2020-11-25T00:01:50.778Z,/sonometros,NoiseLevelObserved,T248670-daily,59.5,61.1,61.9,59.0,52.5,2020-11-24
8,2020-11-26T00:00:54.123Z,/sonometros,NoiseLevelObserved,T248670-daily,59.6,61.3,61.8,59.0,51.8,2020-11-25
9,2020-09-18 12:40:17.154,/sonometros,NoiseLevelObserved,T248670-daily,60,61.3,63.5,61.7,55,2020-09-17
10,2020-09-19 00:00:33.70,/sonometros,NoiseLevelObserved,T248670-daily,60,61,64.2,61.8,56.5,2020-09-18
11,2020-09-20 00:00:35.572,/sonometros,NoiseLevelObserved,T248670-daily,61.9,62.5,66.6,64.7,59.1,2020-09-19
12,2020-09-21 00:00:38.190,/sonometros,NoiseLevelObserved,T248670-daily,57.5,57.2,64,58.1,57.9,2020-09-20
13,2020-10-14 00:00:53.372,/sonometros,NoiseLevelObserved,T248670-daily,60.2,60.8,64.2,60,58.3,2020-10-13
14,2020-10-16 00:00:54.872,/sonometros,NoiseLevelObserved,T248670-daily,59.4,59.9,62,58.4,57,2020-10-15
15,2020-10-17 00:00:56.442,/sonometros,NoiseLevelObserved,T248670-daily,60.6,61.3,64.5,64.4,56,2020-10-16
16,2020-10-18 00:00:58.802,/sonometros,NoiseLevelObserved,T248670-daily,62.1,62.6,66.8,65.4,59.2,2020-10-17
17,2020-10-19 00:00:33.397,/sonometros,NoiseLevelObserved,T248670-daily,58.1,57.9,64.5,59.4,58.2,2020-10-18
18,2020-10-20 00:00:05.598,/sonometros,NoiseLevelObserved,T248670-daily,59.8,61.5,62,58,52.6,2020-10-19
19,2020-10-21 00:00:08.973,/sonometros,NoiseLevelObserved,T248670-daily,59.4,60.8,62.1,61.3,52.3,2020-10-20
20,2020-10-22 00:00:11.352,/sonometros,NoiseLevelObserved,T248670-daily,59.1,60.7,61.8,58.6,52.7,2020-10-21
21,2020-10-23 00:00:11.610,/sonometros,NoiseLevelObserved,T248670-daily,59.7,61.1,63.1,60.1,54.9,2020-10-22
22,2020-10-24 00:00:12.397,/sonometros,NoiseLevelObserved,T248670-daily,60.5,61.4,64.2,63.4,55.7,2020-10-23
23,2020-10-25 00:00:14.968,/sonometros,NoiseLevelObserved,T248670-daily,61.7,62.5,65.8,64.5,57.8,2020-10-24
24,2020-10-26 00:00:18.221,/sonometros,NoiseLevelObserved,T248670-daily,56.9,57.8,62,57,54.9,2020-10-25
25,2020-10-27 00:00:19.808,/sonometros,NoiseLevelObserved,T248670-daily,59.2,61.1,60.7,57.4,49.4,2020-10-26
26,2020-10-28 00:00:22.509,/sonometros,NoiseLevelObserved,T248670-daily,58.9,60.6,61,59.1,50.5,2020-10-27
27,2020-10-29 00:00:22.431,/sonometros,NoiseLevelObserved,T248670-daily,58.6,60.1,60.9,60,50.6,2020-10-28
28,2020-10-30 00:00:24.577,/sonometros,NoiseLevelObserved,T248670-daily,59.8,61.5,62.3,60.3,52.4,2020-10-29
29,2020-10-31 00:00:26.923,/sonometros,NoiseLevelObserved,T248670-daily,61.4,62.4,64.7,64.8,55.3,2020-10-30
30,2020-11-01 00:00:28.993,/sonometros,NoiseLevelObserved,T248670-daily,61.6,62.4,65.1,65.4,56,2020-10-31
31,2020-11-02 00:00:31.244,/sonometros,NoiseLevelObserved,T248670-daily,56.4,57.9,59.2,57.9,49.6,2020-11-01
32,2020-11-03 00:00:33.329,/sonometros,NoiseLevelObserved,T248670-daily,60.1,62,61.9,57.1,51.6,2020-11-02
33,2020-11-04 00:00:35.526,/sonometros,NoiseLevelObserved,T248670-daily,59.4,61.3,61.2,58.4,50.3,2020-11-03
34,2020-11-05 00:00:37.645,/sonometros,NoiseLevelObserved,T248670-daily,59.3,60.3,63.5,60.3,56.1,2020-11-04
35,2020-11-06 00:00:39.694,/sonometros,NoiseLevelObserved,T248670-daily,62.8,64.3,66.7,57.9,59.4,2020-11-05
36,2020-11-07 00:00:42.30,/sonometros,NoiseLevelObserved,T248670-daily,60.7,61.7,64.4,63.9,55.7,2020-11-06
37,2020-11-08 00:00:44.301,/sonometros,NoiseLevelObserved,T248670-daily,61.4,62,65.6,65.3,57.4,2020-11-07
38,2020-11-09 00:00:46.213,/sonometros,NoiseLevelObserved,T248670-daily,57.3,58.5,60.4,59.7,51.2,2020-11-08
39,2020-11-10 00:00:48.613,/sonometros,NoiseLevelObserved,T248670-daily,60.3,61.9,62.2,62.1,50,2020-11-09
40,2020-11-11 00:00:50.459,/sonometros,NoiseLevelObserved,T248670-daily,59.2,61,61.5,58.1,51.8,2020-11-10
41,2020-11-12 00:00:52.673,/sonometros,NoiseLevelObserved,T248670-daily,59.3,61,61.5,58.5,51.8,2020-11-11
42,2020-11-13 00:00:54.957,/sonometros,NoiseLevelObserved,T248670-daily,59.7,61.2,62.5,60.4,53.3,2020-11-12
43,2020-11-14 00:00:57.638,/sonometros,NoiseLevelObserved,T248670-daily,62.3,63.8,64.7,63.9,54.5,2020-11-13
44,2020-11-15 00:00:02.666,/sonometros,NoiseLevelObserved,T248670-daily,62.1,63.2,65,65.4,55,2020-11-14
45,2020-11-16 00:00:11.538,/sonometros,NoiseLevelObserved,T248670-daily,57.8,59.4,60.3,58.7,50.3,2020-11-15
46,2020-11-17 00:00:06.151,/sonometros,NoiseLevelObserved,T248670-daily,60.2,62.1,61.9,58.8,51,2020-11-16
47,2020-11-27T00:00:55.870Z,/sonometros,NoiseLevelObserved,T248670-daily,59.4,61.1,61.9,59.4,52.4,2020-11-26
48,2020-11-28T00:00:57.221Z,/sonometros,NoiseLevelObserved,T248670-daily,67.1,69.3,67.6,58.4,52.4,2020-11-27
49,2020-11-29T00:00:00.850Z,/sonometros,NoiseLevelObserved,T248670-daily,62.6,63.5,65.9,66.0,56.6,2020-11-28
50,2020-11-30T00:00:02.327Z,/sonometros,NoiseLevelObserved,T248670-daily,57.1,58.6,59.9,58.3,50.5,2020-11-29
51,2020-12-01T00:00:05.945Z,/sonometros,NoiseLevelObserved,T248670-daily,60.1,62.0,61.7,57.6,51.0,2020-11-30
52,2020-12-02T00:00:07.89Z,/sonometros,NoiseLevelObserved,T248670-daily,59.8,61.7,61.9,59.0,51.4,2020-12-01
53,2020-12-03T00:00:10.435Z,/sonometros,NoiseLevelObserved,T248670-daily,58.5,60.2,61.0,57.8,51.6,2020-12-02
54,2020-12-04T00:01:10.147Z,/sonometros,NoiseLevelObserved,T248670-daily,74.6,76.9,74.7,61.8,51.9,2020-12-03
55,2020-12-05T00:00:12.379Z,/sonometros,NoiseLevelObserved,T248670-daily,59.9,61.3,62.8,61.1,53.8,2020-12-04
56,2020-12-06T00:00:14.401Z,/sonometros,NoiseLevelObserved,T248670-daily,60.1,61.1,64.2,62.0,56.5,2020-12-05
57,2020-12-07T00:00:16.278Z,/sonometros,NoiseLevelObserved,T248670-daily,56.7,58.0,60.0,57.9,51.5,2020-12-06
58,2020-12-08T00:00:18.263Z,/sonometros,NoiseLevelObserved,T248670-daily,60.3,61.9,62.5,60.3,52.6,2020-12-07
59,2020-12-09T00:00:20.579Z,/sonometros,NoiseLevelObserved,T248670-daily,57.5,58.1,61.5,61.9,52.7,2020-12-08
